run_type,backend,workers,k,double_hash,nonce,tries,elapsed_sec,hashes_per_sec,mhashes_per_sec,target_bits,nonce_size,repeat
python,python_naive,1,16,False,2860,2861,0.0033,876120.11,0.88,16,8,1
python,python_optimized,1,16,False,10904,10905,0.0103,1055472.87,1.06,16,8,1
python,python_mp,12,16,False,10904,11450,0.0627,182672.47,0.18,16,8,1
rust,pure_rust_sha2,1,16,False,23804,23805,0.0063,3771577.25,3.77,16,8,1
rust,openssl_single,1,16,False,23804,23805,0.0039,6081590.65,6.08,16,8,1
rust,pure_rust_sha2_mt,12,16,False,31515,22624,0.002,11344524.75,11.34,16,8,1
rust,openssl_mt,12,16,False,23804,27687,0.0015,18401189.39,18.4,16,8,1
python,python_naive,1,20,False,119643,119644,0.146,819754.43,0.82,20,8,1
python,python_optimized,1,20,False,757819,757820,0.8528,888593.49,0.89,20,8,1
python,python_mp,12,20,False,757819,757594,4.5918,164987.23,0.16,20,8,1
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.8302,3493955.36,3.49,20,8,1
rust,openssl_single,1,20,False,2900578,2900579,0.4824,6012630.87,6.01,20,8,1
rust,pure_rust_sha2_mt,12,20,False,2900578,2841931,0.1668,17036093.51,17.04,20,8,1
rust,openssl_mt,12,20,False,2981652,2848808,0.1246,22868472.02,22.87,20,8,1
python,python_naive,1,24,False,11780068,11780069,14.4532,815047.66,0.82,24,8,1
python,python_optimized,1,24,False,14017075,14017076,14.2909,980836.77,0.98,24,8,1
python,python_mp,12,24,False,14017075,14027921,95.7698,146475.37,0.15,24,8,1
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.7767,3526797.18,3.53,24,8,1
rust,openssl_single,1,24,False,27426850,27426851,4.9952,5490675.84,5.49,24,8,1
rust,pure_rust_sha2_mt,12,24,False,27426850,27461455,1.9695,13943473.09,13.94,24,8,1
rust,openssl_mt,12,24,False,27426850,26608384,1.3093,20323056.91,20.32,24,8,1
python,python_naive,1,16,False,2860,2861,0.004,706763.71,0.71,16,8,2
python,python_optimized,1,16,False,10904,10905,0.0125,869167.67,0.87,16,8,2
python,python_mp,12,16,False,10904,12699,0.0799,158962.67,0.16,16,8,2
rust,pure_rust_sha2,1,16,False,23804,23805,0.0062,3860607.5,3.86,16,8,2
rust,openssl_single,1,16,False,23804,23805,0.0038,6288168.5,6.29,16,8,2
rust,pure_rust_sha2_mt,12,16,False,31515,26659,0.0032,8348793.48,8.35,16,8,2
rust,openssl_mt,12,16,False,31515,22936,0.0019,12056932.95,12.06,16,8,2
python,python_naive,1,20,False,119643,119644,0.1603,746296.93,0.75,20,8,2
python,python_optimized,1,20,False,757819,757820,0.8491,892478.08,0.89,20,8,2
python,python_mp,12,20,False,757819,765924,5.1626,148359.98,0.15,20,8,2
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.8488,3417176.95,3.42,20,8,2
rust,openssl_single,1,20,False,2900578,2900579,0.524,5535193.16,5.54,20,8,2
rust,pure_rust_sha2_mt,12,20,False,2981652,2861594,0.1949,14682107.77,14.68,20,8,2
rust,openssl_mt,12,20,False,2981652,2881647,0.1371,21022459.71,21.02,20,8,2
python,python_naive,1,24,False,11780068,11780069,15.3043,769723.38,0.77,24,8,2
python,python_optimized,1,24,False,14017075,14017076,15.3436,913543.97,0.91,24,8,2
python,python_mp,12,24,False,14017075,14101462,90.9291,155081.97,0.16,24,8,2
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.669,3576308.61,3.58,24,8,2
rust,openssl_single,1,24,False,27426850,27426851,4.4612,6147820.11,6.15,24,8,2
rust,pure_rust_sha2_mt,12,24,False,27426850,27462914,1.7094,16065589.56,16.07,24,8,2
rust,openssl_mt,12,24,False,27426850,27588357,1.2382,22280331.49,22.28,24,8,2
python,python_naive,1,16,False,2860,2861,0.0034,834618.86,0.83,16,8,3
python,python_optimized,1,16,False,10904,10905,0.011,987094.9,0.99,16,8,3
python,python_mp,12,16,False,10904,12401,0.0712,174097.64,0.17,16,8,3
rust,pure_rust_sha2,1,16,False,23804,23805,0.0064,3720470.09,3.72,16,8,3
rust,openssl_single,1,16,False,23804,23805,0.0045,5295182.22,5.3,16,8,3
rust,pure_rust_sha2_mt,12,16,False,23804,30735,0.0028,11086054.62,11.09,16,8,3
rust,openssl_mt,12,16,False,31515,23364,0.0014,16311712.61,16.31,16,8,3
python,python_naive,1,20,False,119643,119644,0.1494,800604.75,0.8,20,8,3
python,python_optimized,1,20,False,757819,757820,0.8628,878298.46,0.88,20,8,3
python,python_mp,12,20,False,757819,759008,4.8363,156939.06,0.16,20,8,3
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.8874,3268585.74,3.27,20,8,3
rust,openssl_single,1,20,False,2900578,2900579,0.4988,5815559.66,5.82,20,8,3
rust,pure_rust_sha2_mt,12,20,False,2981652,2985205,0.1726,17297907.7,17.3,20,8,3
rust,openssl_mt,12,20,False,2900578,2856178,0.1177,24260665.76,24.26,20,8,3
python,python_naive,1,24,False,11780068,11780069,14.7358,799419.33,0.8,24,8,3
python,python_optimized,1,24,False,14017075,14017076,14.167,989420.8,0.99,24,8,3
python,python_mp,12,24,False,14017075,13971123,91.2679,153078.12,0.15,24,8,3
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.4257,3693510.17,3.69,24,8,3
rust,openssl_single,1,24,False,27426850,27426851,4.7787,5739410.22,5.74,24,8,3
rust,pure_rust_sha2_mt,12,24,False,27426850,27590796,1.9182,14383572.12,14.38,24,8,3
rust,openssl_mt,12,24,False,27426850,27207484,1.3122,20733855.81,20.73,24,8,3
