run_type,backend,workers,k,double_hash,nonce,tries,elapsed_sec,hashes_per_sec,mhashes_per_sec,target_bits,nonce_size,repeat
python,python_optimized,1,20,True,50759,50760,0.101,502345.4,0.5,20,8,1
rust,pure_rust_sha2,1,20,True,1534897,1534898,0.8252,1859929.58,1.86,20,8,1
rust,openssl_single,1,20,True,1534897,1534898,0.5507,2787283.7,2.79,20,8,1
python,python_optimized,1,24,True,14480092,14480093,27.6115,524421.93,0.52,24,8,1
rust,pure_rust_sha2,1,24,True,3796108,3796109,2.1269,1784812.72,1.78,24,8,1
rust,openssl_single,1,24,True,3796108,3796109,1.3596,2791985.22,2.79,24,8,1
python,python_optimized,1,20,True,50759,50760,0.0909,558163.69,0.56,20,8,2
rust,pure_rust_sha2,1,20,True,1534897,1534898,0.9261,1657380.0,1.66,20,8,2
rust,openssl_single,1,20,True,1534897,1534898,0.6039,2541833.75,2.54,20,8,2
python,python_optimized,1,24,True,14480092,14480093,26.6763,542807.09,0.54,24,8,2
rust,pure_rust_sha2,1,24,True,3796108,3796109,2.2264,1705016.49,1.71,24,8,2
rust,openssl_single,1,24,True,3796108,3796109,1.3932,2724776.87,2.72,24,8,2
python,python_optimized,1,20,True,50759,50760,0.093,545721.25,0.55,20,8,3
rust,pure_rust_sha2,1,20,True,1534897,1534898,0.9186,1670873.41,1.67,20,8,3
rust,openssl_single,1,20,True,1534897,1534898,0.5855,2621372.46,2.62,20,8,3
python,python_optimized,1,24,True,14480092,14480093,25.9848,557251.82,0.56,24,8,3
rust,pure_rust_sha2,1,24,True,3796108,3796109,2.002,1896165.76,1.9,24,8,3
rust,openssl_single,1,24,True,3796108,3796109,1.2613,3009705.68,3.01,24,8,3
