run_type,backend,workers,k,double_hash,nonce,tries,elapsed_sec,hashes_per_sec,mhashes_per_sec,target_bits,nonce_size,repeat
rust,openssl_single,1,0,True,0,1,0.0,488519.79,0.49,0,8,1
rust,openssl_single,1,1,True,1,2,0.0,1085187.19,1.09,1,8,1
rust,openssl_single,1,2,True,3,4,0.0,1627339.3,1.63,2,8,1
rust,openssl_single,1,3,True,3,4,0.0,1699235.34,1.7,3,8,1
rust,openssl_single,1,4,True,3,4,0.0,1347254.97,1.35,4,8,1
rust,openssl_single,1,5,True,3,4,0.0,1628001.63,1.63,5,8,1
rust,openssl_single,1,6,True,3,4,0.0,1447178.0,1.45,6,8,1
rust,openssl_single,1,7,True,3,4,0.0,1502629.6,1.5,7,8,1
rust,openssl_single,1,8,True,3,4,0.0,1347254.97,1.35,8,8,1
rust,openssl_single,1,9,True,98,99,0.0,2975296.03,2.98,9,8,1
rust,openssl_single,1,10,True,98,99,0.0,3031230.86,3.03,10,8,1
rust,openssl_single,1,11,True,98,99,0.0,3050283.46,3.05,11,8,1
rust,openssl_single,1,12,True,98,99,0.0,2984444.71,2.98,12,8,1
rust,openssl_single,1,13,True,26300,26301,0.0085,3081445.84,3.08,13,8,1
rust,openssl_single,1,14,True,32416,32417,0.0107,3041896.38,3.04,14,8,1
rust,openssl_single,1,15,True,32416,32417,0.0105,3076357.77,3.08,15,8,1
rust,openssl_single,1,16,True,32416,32417,0.0105,3092442.05,3.09,16,8,1
rust,openssl_single,1,17,True,32416,32417,0.0104,3122544.03,3.12,17,8,1
rust,openssl_single,1,18,True,32416,32417,0.011,2937805.74,2.94,18,8,1
rust,openssl_single,1,19,True,807547,807548,0.269,3002004.95,3.0,19,8,1
rust,openssl_single,1,20,True,1534897,1534898,0.5142,2984888.66,2.98,20,8,1
rust,openssl_single,1,0,True,0,1,0.0,702740.69,0.7,0,8,2
rust,openssl_single,1,1,True,1,2,0.0,1035732.78,1.04,1,8,2
rust,openssl_single,1,2,True,3,4,0.0,1574183.39,1.57,2,8,2
rust,openssl_single,1,3,True,3,4,0.0,1513431.71,1.51,3,8,2
rust,openssl_single,1,4,True,3,4,0.0,1357312.52,1.36,4,8,2
rust,openssl_single,1,5,True,3,4,0.0,1710863.99,1.71,5,8,2
rust,openssl_single,1,6,True,3,4,0.0,1574183.39,1.57,6,8,2
rust,openssl_single,1,7,True,3,4,0.0,1457725.95,1.46,7,8,2
rust,openssl_single,1,8,True,3,4,0.0,1513431.71,1.51,8,8,2
rust,openssl_single,1,9,True,98,99,0.0,2916224.81,2.92,9,8,2
rust,openssl_single,1,10,True,98,99,0.0,3024932.78,3.02,10,8,2
rust,openssl_single,1,11,True,98,99,0.0,3063024.04,3.06,11,8,2
rust,openssl_single,1,12,True,98,99,0.0,3015626.43,3.02,12,8,2
rust,openssl_single,1,13,True,26300,26301,0.0088,2981320.75,2.98,13,8,2
rust,openssl_single,1,14,True,32416,32417,0.0106,3046081.84,3.05,14,8,2
rust,openssl_single,1,15,True,32416,32417,0.0106,3055390.25,3.06,15,8,2
rust,openssl_single,1,16,True,32416,32417,0.0105,3086107.71,3.09,16,8,2
rust,openssl_single,1,17,True,32416,32417,0.0104,3123677.47,3.12,17,8,2
rust,openssl_single,1,18,True,32416,32417,0.0105,3081158.69,3.08,18,8,2
rust,openssl_single,1,19,True,807547,807548,0.2815,2868324.96,2.87,19,8,2
rust,openssl_single,1,20,True,1534897,1534898,0.4931,3112497.78,3.11,20,8,2
rust,openssl_single,1,0,True,0,1,0.0,616903.15,0.62,0,8,3
rust,openssl_single,1,1,True,1,2,0.0,1233806.29,1.23,1,8,3
rust,openssl_single,1,2,True,3,4,0.0,1409940.08,1.41,2,8,3
rust,openssl_single,1,3,True,3,4,0.0,1579155.15,1.58,3,8,3
rust,openssl_single,1,4,True,3,4,0.0,1644736.84,1.64,4,8,3
rust,openssl_single,1,5,True,3,4,0.0,1413427.56,1.41,5,8,3
rust,openssl_single,1,6,True,3,4,0.0,1583531.27,1.58,6,8,3
rust,openssl_single,1,7,True,3,4,0.0,1649484.54,1.65,7,8,3
rust,openssl_single,1,8,True,3,4,0.0,1319261.21,1.32,8,8,3
rust,openssl_single,1,9,True,98,99,0.0,3014432.74,3.01,9,8,3
rust,openssl_single,1,10,True,98,99,0.0001,1814250.11,1.81,10,8,3
rust,openssl_single,1,11,True,98,99,0.0,3023731.71,3.02,11,8,3
rust,openssl_single,1,12,True,98,99,0.0,3014432.74,3.01,12,8,3
rust,openssl_single,1,13,True,26300,26301,0.0088,2992327.53,2.99,13,8,3
rust,openssl_single,1,14,True,32416,32417,0.0106,3056802.28,3.06,14,8,3
rust,openssl_single,1,15,True,32416,32417,0.0107,3038417.42,3.04,15,8,3
rust,openssl_single,1,16,True,32416,32417,0.011,2950527.49,2.95,16,8,3
rust,openssl_single,1,17,True,32416,32417,0.0109,2972233.18,2.97,17,8,3
rust,openssl_single,1,18,True,32416,32417,0.0107,3016673.64,3.02,18,8,3
rust,openssl_single,1,19,True,807547,807548,0.2954,2733998.62,2.73,19,8,3
rust,openssl_single,1,20,True,1534897,1534898,0.5186,2959915.56,2.96,20,8,3
