run_type,backend,workers,k,double_hash,nonce,tries,elapsed_sec,hashes_per_sec,mhashes_per_sec,target_bits,nonce_size,repeat
rust,openssl_single,1,0,False,0,1,0.0,593119.81,0.59,0,8,1
rust,openssl_single,1,1,False,3,4,0.0,2688172.04,2.69,1,8,1
rust,openssl_single,1,2,False,8,9,0.0,3779924.4,3.78,2,8,1
rust,openssl_single,1,3,False,8,9,0.0,3629032.26,3.63,3,8,1
rust,openssl_single,1,4,False,14,15,0.0,4447079.75,4.45,4,8,1
rust,openssl_single,1,5,False,82,83,0.0,5652795.75,5.65,5,8,1
rust,openssl_single,1,6,False,82,83,0.0,5652795.75,5.65,6,8,1
rust,openssl_single,1,7,False,82,83,0.0,5891538.9,5.89,7,8,1
rust,openssl_single,1,8,False,561,562,0.0001,6308156.83,6.31,8,8,1
rust,openssl_single,1,9,False,1036,1037,0.0002,6350236.68,6.35,9,8,1
rust,openssl_single,1,10,False,1399,1400,0.0002,6022774.69,6.02,10,8,1
rust,openssl_single,1,11,False,2062,2063,0.0003,6366871.28,6.37,11,8,1
rust,openssl_single,1,12,False,3275,3276,0.0005,6383277.22,6.38,12,8,1
rust,openssl_single,1,13,False,3275,3276,0.0006,5279085.73,5.28,13,8,1
rust,openssl_single,1,14,False,13754,13755,0.0022,6325888.82,6.33,14,8,1
rust,openssl_single,1,15,False,23804,23805,0.0037,6364901.78,6.36,15,8,1
rust,openssl_single,1,16,False,23804,23805,0.0039,6157850.5,6.16,16,8,1
rust,openssl_single,1,17,False,247666,247667,0.0403,6144650.3,6.14,17,8,1
rust,openssl_single,1,18,False,577076,577077,0.0986,5855383.63,5.86,18,8,1
rust,openssl_single,1,19,False,577865,577866,0.0944,6120144.28,6.12,19,8,1
rust,openssl_single,1,20,False,2900578,2900579,0.4641,6250158.58,6.25,20,8,1
rust,openssl_single,1,0,False,0,1,0.0,916590.28,0.92,0,8,2
rust,openssl_single,1,1,False,3,4,0.0,2520478.89,2.52,1,8,2
rust,openssl_single,1,2,False,8,9,0.0,3489724.7,3.49,2,8,2
rust,openssl_single,1,3,False,8,9,0.0,3025210.08,3.03,3,8,2
rust,openssl_single,1,4,False,14,15,0.0,4200504.06,4.2,4,8,2
rust,openssl_single,1,5,False,82,83,0.0,5505439.11,5.51,5,8,2
rust,openssl_single,1,6,False,82,83,0.0,5616456.9,5.62,6,8,2
rust,openssl_single,1,7,False,82,83,0.0,5893212.16,5.89,7,8,2
rust,openssl_single,1,8,False,561,562,0.0001,6330967.67,6.33,8,8,2
rust,openssl_single,1,9,False,1036,1037,0.0002,4890194.62,4.89,9,8,2
rust,openssl_single,1,10,False,1399,1400,0.0002,6185412.15,6.19,10,8,2
rust,openssl_single,1,11,False,2062,2063,0.0003,6341350.96,6.34,11,8,2
rust,openssl_single,1,12,False,3275,3276,0.0005,6376319.64,6.38,12,8,2
rust,openssl_single,1,13,False,3275,3276,0.0005,6163339.79,6.16,13,8,2
rust,openssl_single,1,14,False,13754,13755,0.0023,6025407.9,6.03,14,8,2
rust,openssl_single,1,15,False,23804,23805,0.0037,6359990.7,6.36,15,8,2
rust,openssl_single,1,16,False,23804,23805,0.0038,6227961.44,6.23,16,8,2
rust,openssl_single,1,17,False,247666,247667,0.0398,6228374.76,6.23,17,8,2
rust,openssl_single,1,18,False,577076,577077,0.1,5768485.97,5.77,18,8,2
rust,openssl_single,1,19,False,577865,577866,0.0953,6065828.45,6.07,19,8,2
rust,openssl_single,1,20,False,2900578,2900579,0.4906,5912890.61,5.91,20,8,2
rust,openssl_single,1,0,False,0,1,0.0,840336.13,0.84,0,8,3
rust,openssl_single,1,1,False,3,4,0.0,2372479.24,2.37,1,8,3
rust,openssl_single,1,2,False,8,9,0.0,3781512.61,3.78,2,8,3
rust,openssl_single,1,3,False,8,9,0.0,3491078.36,3.49,3,8,3
rust,openssl_single,1,4,False,14,15,0.0,4087193.46,4.09,4,8,3
rust,openssl_single,1,5,False,82,83,0.0,5935779.16,5.94,5,8,3
rust,openssl_single,1,6,False,82,83,0.0,5811917.93,5.81,6,8,3
rust,openssl_single,1,7,False,82,83,0.0,5732044.2,5.73,7,8,3
