run_type,backend,workers,k,double_hash,nonce,tries,elapsed_sec,hashes_per_sec,mhashes_per_sec,target_bits,nonce_size,repeat
python,python_optimized,1,20,False,757819,757820,0.7979,949710.97,0.95,20,8,1
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.8038,3608492.62,3.61,20,8,1
rust,openssl_single,1,20,False,2900578,2900579,0.4785,6062225.97,6.06,20,8,1
python,python_optimized,1,24,False,14017075,14017076,14.0347,998747.09,1.0,24,8,1
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.954,3448171.29,3.45,24,8,1
rust,openssl_single,1,24,False,27426850,27426851,4.7678,5752547.87,5.75,24,8,1
python,python_optimized,1,20,False,757819,757820,0.7998,947474.85,0.95,20,8,2
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.8083,3588391.1,3.59,20,8,2
rust,openssl_single,1,20,False,2900578,2900579,0.4943,5867663.33,5.87,20,8,2
python,python_optimized,1,24,False,14017075,14017076,14.6131,959213.31,0.96,24,8,2
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.5246,3644946.69,3.64,24,8,2
rust,openssl_single,1,24,False,27426850,27426851,5.1137,5363375.29,5.36,24,8,2
python,python_optimized,1,20,False,757819,757820,0.8416,900494.3,0.9,20,8,3
rust,pure_rust_sha2,1,20,False,2900578,2900579,0.9109,3184430.63,3.18,20,8,3
rust,openssl_single,1,20,False,2900578,2900579,0.5278,5495459.03,5.5,20,8,3
python,python_optimized,1,24,False,14017075,14017076,14.3754,975076.98,0.98,24,8,3
rust,pure_rust_sha2,1,24,False,27426850,27426851,7.7198,3552788.69,3.55,24,8,3
rust,openssl_single,1,24,False,27426850,27426851,4.9319,5561076.1,5.56,24,8,3
